lakeid,trans,dist,setdate,coldate,daysout,aran_other,lyco_pal_m,lyco_pal_f,lyco_hyp_m,lyco_hyp_f,lyco_sph_m,lyco_sph_f,lyco_alp_m,lyco_alp_f,lyco_unid_m,lyco_unid_f,lyco_juv,lyco_total,egsa,liny,gnap,thom,opil,acar_other,trom,acar_total,cole_other,cryp,stap,cara,curc,colj,clmb,comments,comments 2
myv,non,5,2009-06-23,2009-07-05,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6,0,0,0,NA,NA,NA,0,5,14,25,NA,3,NA,34 saldids,
myv,non,50,2009-06-23,2009-07-05,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3,19,1,2,2,NA,NA,NA,0,1,1,3,NA,0,NA,several hemiptera and hymenoptera,
myv,non,150,2009-06-23,2009-07-05,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,4,1,0,1,0,NA,NA,NA,0,0,0,0,NA,0,NA,mostly big red mites,
myv,vin,5,2009-06-23,2009-07-05,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,27,0,1,11,NA,NA,17,0,23,2,1,NA,0,NA,"112 saldids, 1 lep",
myv,vin,50,2009-06-23,2009-07-05,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231,71,3,2,2,7,NA,NA,NA,0,0,0,0,NA,0,NA,"lycosids immature primarily, 1 lep",
myv,vin,150,2009-06-23,2009-07-05,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,8,1,1,0,1,NA,NA,57,1,0,0,1,NA,0,NA,,
hel,hel1,5,2009-06-22,2009-07-10,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,7,7,3,0,30,NA,NA,19,0,0,0,1,NA,0,NA,,
hel,hel1,50,2009-06-22,2009-07-10,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,6,3,1,2,0,NA,NA,52,0,0,0,1,NA,0,NA,,
hel,hel1,150,2009-06-22,2009-07-10,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,2,7,7,1,6,NA,NA,166,0,0,0,0,NA,0,NA,,
hel,hel1,500,2009-06-22,2009-07-10,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,3,12,3,2,10,NA,NA,307,1,0,0,1,NA,0,NA,,
hel,hel2,5,2009-06-22,2009-07-10,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,8,4,2,0,16,NA,NA,12,1,0,0,5,NA,0,NA,,
hel,hel2,50,2009-06-22,2009-07-10,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,13,14,7,0,2,NA,NA,88,0,0,0,1,NA,0,NA,,
hel,hel2,150,2009-06-22,2009-07-10,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,8,6,8,2,2,NA,NA,150,0,0,0,0,NA,0,NA,,
hel,hel2,500,2009-06-22,2009-07-10,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,2,8,7,2,12,NA,NA,215,1,0,0,1,NA,0,NA,,
myv,hag,5,2009-07-05,2009-07-14,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,10,2,1,0,NA,NA,117,0,12,4,0,NA,0,NA,,
myv,hag,50,2009-07-05,2009-07-14,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,5,2,1,0,NA,NA,0,0,0,0,0,NA,0,NA,,
myv,hag,150,2009-07-05,2009-07-14,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,6,5,2,3,1,NA,NA,112,0,0,0,0,NA,0,NA,,
myv,hag,500,2009-07-05,2009-07-14,17,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,5,3,0,2,1,NA,NA,50,0,0,0,2,NA,0,NA,spiders are baby lycosids,
myv,kal,5,2009-07-05,2009-07-14,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,12,0,0,3,NA,NA,5,0,0,0,2,NA,0,NA,,
myv,kal,50,2009-07-05,2009-07-14,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,8,3,14,0,0,NA,NA,59,0,0,0,0,NA,0,NA,,
myv,kal,150,2009-07-05,2009-07-14,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,3,2,0,2,NA,NA,145,0,0,0,0,NA,0,NA,,
myv,non,5,2009-07-05,2009-07-14,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,25,0,0,0,NA,NA,0,0,2,35,33,NA,1,NA,,
myv,non,50,2009-07-05,2009-07-14,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8,0,2,0,NA,NA,8,0,0,1,0,NA,0,NA,,
myv,non,150,2009-07-05,2009-07-14,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,0,2,1,NA,NA,22,0,0,0,0,NA,0,NA,,
myv,vin,5,2009-07-05,2009-07-14,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,9,0,0,2,NA,NA,60,0,0,2,0,NA,0,NA,,
myv,vin,50,2009-07-05,2009-07-14,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,19,32,1,0,9,NA,NA,30,0,0,0,0,NA,0,NA,,
myv,vin,150,2009-07-05,2009-07-14,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2,1,4,0,1,NA,NA,0,0,0,0,0,NA,0,NA,,
myv,btl,5,2009-07-05,2009-07-16,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,3,0,0,0,NA,NA,1,0,0,0,0,NA,0,NA,,
myv,btl,50,2009-07-05,2009-07-16,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,2,0,NA,NA,53,0,2,2,1,NA,2,NA,,
myv,btl,150,2009-07-05,2009-07-16,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,0,0,1,0,NA,NA,49,0,0,0,0,NA,2,NA,,
myv,btl,5,2009-07-16,2009-07-22,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,0,0,NA,NA,1,0,0,0,0,NA,0,NA,,
myv,btl,50,2009-07-16,2009-07-22,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA,NA,3,0,0,0,1,NA,1,NA,,
myv,btl,150,2009-07-16,2009-07-22,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0,NA,NA,20,0,1,0,1,NA,0,NA,"top was open on pit in field, some dirt inside",
myv,kal,5,2009-07-14,2009-07-22,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,NA,NA,15,0,0,0,0,NA,0,NA,,
myv,kal,50,2009-07-14,2009-07-22,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,0,1,NA,NA,7,0,0,3,1,NA,0,NA,,
myv,kal,150,2009-07-14,2009-07-22,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,1,0,0,NA,NA,28,0,0,0,0,NA,0,NA,,
myv,hag,5,2009-07-14,2009-07-23,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,25,0,5,3,2,NA,0,NA,,
myv,hag,50,2009-07-14,2009-07-23,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,0,0,0,NA,NA,28,0,0,0,0,NA,0,NA,,
myv,hag,150,2009-07-14,2009-07-23,15,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,5,0,6,0,NA,NA,27,0,0,0,0,NA,0,NA,,
myv,hag,500,2009-07-14,2009-07-23,15,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,3,0,1,0,NA,NA,9,0,0,0,0,NA,0,NA,,
myv,non,5,2009-07-14,2009-07-23,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA,NA,0,0,1,3,2,NA,0,NA,,
myv,non,50,2009-07-14,2009-07-23,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,0,0,0,NA,NA,1,1,0,0,0,NA,0,NA,,
myv,non,150,2009-07-14,2009-07-23,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,3,0,NA,NA,6,0,0,0,0,NA,0,NA,,
myv,vin,5,2009-07-14,2009-07-23,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,4,NA,NA,1,0,2,0,0,NA,0,NA,,
myv,vin,50,2009-07-14,2009-07-23,15,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,5,1,0,1,1,NA,NA,47,0,0,1,2,NA,0,NA,immature lycosids,
myv,vin,150,2009-07-14,2009-07-23,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0,NA,NA,8,0,0,0,0,NA,0,NA,,
hel,hel1,5,2009-07-10,2009-07-26,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,0,1,0,1,NA,NA,5,0,0,0,0,NA,0,NA,,
hel,hel1,50,2009-07-10,2009-07-26,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,0,0,1,NA,NA,16,0,0,0,0,NA,0,NA,,
hel,hel1,150,2009-07-10,2009-07-26,14,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,3,1,0,NA,NA,0,0,0,1,0,NA,0,NA,,
hel,hel1,500,2009-07-10,2009-07-26,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,2,3,2,3,NA,NA,58,0,0,0,0,NA,0,NA,,
hel,hel2,5,2009-07-10,2009-07-26,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,NA,NA,2,0,0,1,2,NA,0,NA,,
hel,hel2,50,2009-07-10,2009-07-26,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,1,4,NA,NA,0,0,0,0,1,NA,0,NA,,
hel,hel2,150,2009-07-10,2009-07-26,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,4,2,0,0,NA,NA,32,0,0,0,0,NA,0,NA,,
hel,hel2,500,2009-07-10,2009-07-26,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,2,8,NA,NA,37,0,0,0,0,NA,0,NA,,
myv,btl,5,2010-06-03,2010-06-18,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,46,3,1,11,NA,NA,20,0,3,8,3,NA,0,NA,,
myv,btl,50,2010-06-03,2010-06-18,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,19,6,5,19,NA,NA,1,0,0,1,11,NA,0,NA,,
myv,btl,150,2010-06-03,2010-06-18,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,1,19,8,4,31,NA,NA,31,0,0,3,6,NA,1,NA,one oligochete,
myv,hag,5,2010-06-03,2010-06-18,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,8,8,0,3,NA,NA,138,0,98,5,11,NA,0,NA,,
myv,hag,50,2010-06-03,2010-06-18,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,2,0,1,NA,NA,24,0,0,1,1,NA,0,NA,pitfall was dry,
myv,hag,150,2010-06-03,2010-06-18,16,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,3,9,11,1,0,NA,NA,33,0,0,0,1,NA,0,NA,,
myv,hag,500,2010-06-03,2010-06-18,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1,4,0,0,3,NA,NA,34,0,0,0,0,NA,0,NA,,
myv,kal,5,2010-06-03,2010-06-18,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing data??,
myv,kal,50,2010-06-03,2010-06-18,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,1,0,7,5,1,NA,NA,14,0,0,0,2,NA,0,NA,,
myv,kal,150,2010-06-03,2010-06-18,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pitfall missing entirely including lid and cup (new cup set in field),
myv,non,5,2010-06-03,2010-06-18,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8,0,0,1,NA,NA,0,0,3,13,32,NA,1,NA,,
myv,non,50,2010-06-03,2010-06-18,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,20,9,3,38,NA,NA,7,0,1,0,1,NA,0,NA,,
myv,non,150,2010-06-03,2010-06-18,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,4,3,1,2,2,NA,NA,23,0,1,1,0,NA,0,NA,,
myv,vin,5,2010-06-03,2010-06-18,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,0,43,5,1,3,NA,NA,0,0,3,1,5,NA,0,NA,,
myv,vin,50,2010-06-03,2010-06-18,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268,10,3,0,7,3,NA,NA,52,0,0,1,2,NA,0,NA,,
myv,vin,150,2010-06-03,2010-06-18,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2,3,2,0,1,NA,NA,152,1,1,7,6,NA,0,NA,,
hel,hel1,5,2010-06-06,2010-06-19,16,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,3,6,0,0,2,NA,NA,2,0,0,0,1,NA,0,NA,,
hel,hel1,50,2010-06-06,2010-06-19,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,2,12,3,0,0,NA,NA,108,0,0,0,0,NA,0,NA,,
hel,hel1,150,2010-06-06,2010-06-19,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,5,0,6,0,2,NA,NA,195,0,0,0,0,NA,0,NA,,
hel,hel1,500,2010-06-06,2010-06-19,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,4,0,3,0,2,NA,NA,41,0,0,0,0,NA,0,NA,,
hel,hel2,5,2010-06-06,2010-06-19,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,5,3,2,0,3,NA,NA,3,0,0,1,3,NA,0,NA,,
hel,hel2,50,2010-06-06,2010-06-19,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,3,7,9,3,5,NA,NA,109,0,0,0,0,NA,0,NA,,
hel,hel2,150,2010-06-06,2010-06-19,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,3,3,7,2,0,NA,NA,212,0,0,0,0,NA,0,NA,,
hel,hel2,500,2010-06-06,2010-06-19,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,0,8,8,0,8,NA,NA,203,0,0,0,1,NA,0,NA,,
myv,btl,5,2010-06-18,2010-07-07,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,28,0,0,1,NA,NA,0,0,1,7,0,NA,0,NA,,
myv,btl,50,2010-06-18,2010-07-07,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,15,0,0,17,NA,NA,0,0,4,4,4,NA,0,NA,,
myv,btl,150,2010-06-18,2010-07-07,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,1,2,1,2,0,NA,NA,12,0,0,1,4,NA,0,NA,,
myv,hag,5,2010-06-18,2010-07-07,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2,5,1,0,1,NA,NA,98,1,48,1,4,NA,0,NA,,
myv,hag,50,2010-06-18,2010-07-07,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,5,5,8,1,0,NA,NA,37,0,0,1,0,NA,0,NA,,
myv,hag,150,2010-06-18,2010-07-07,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,3,11,2,0,0,NA,NA,23,0,0,0,2,NA,0,NA,,
myv,hag,500,2010-06-18,2010-07-07,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,6,6,0,2,2,NA,NA,31,0,1,0,2,NA,0,NA,,
myv,kal,5,2010-06-18,2010-07-07,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,3,7,0,0,38,NA,NA,19,0,0,3,6,NA,0,NA,,
myv,kal,50,2010-06-18,2010-07-07,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,5,4,3,2,4,NA,NA,15,0,0,0,0,NA,0,NA,,
myv,kal,150,2010-06-18,2010-07-07,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3,5,0,0,0,NA,NA,23,0,0,0,0,NA,0,NA,,
myv,non,5,2010-06-18,2010-07-07,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,12,0,0,2,NA,NA,0,2,1,16,52,NA,0,NA,,
myv,non,50,2010-06-18,2010-07-07,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,16,0,0,14,NA,NA,18,0,2,18,34,NA,0,NA,,
myv,non,150,2010-06-18,2010-07-07,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2,3,1,1,4,NA,NA,17,0,0,0,0,NA,0,NA,,
myv,vin,5,2010-06-18,2010-07-07,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,17,0,0,29,NA,NA,6,0,2,1,3,NA,0,NA,,
myv,vin,50,2010-06-18,2010-07-07,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,48,4,2,3,7,NA,NA,82,0,1,2,2,NA,0,NA,,
myv,vin,150,2010-06-18,2010-07-07,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,2,0,0,1,NA,NA,80,0,0,6,4,NA,0,NA,,
hel,hel1,5,2010-06-19,2010-07-10,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,14,5,0,0,5,NA,NA,12,0,0,0,1,NA,0,NA,,
hel,hel1,50,2010-06-19,2010-07-10,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,1,1,3,2,NA,NA,60,0,0,0,0,NA,0,NA,,
hel,hel1,150,2010-06-19,2010-07-10,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,8,6,0,0,4,NA,NA,83,0,0,0,0,NA,0,NA,,
hel,hel1,500,2010-06-19,2010-07-10,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,4,4,1,2,5,NA,NA,78,0,0,0,0,NA,0,NA,,
hel,hel2,5,2010-06-19,2010-07-10,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,22,3,1,0,5,NA,NA,17,0,0,0,1,NA,0,NA,,
hel,hel2,50,2010-06-19,2010-07-10,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,1,3,4,0,8,NA,NA,96,0,0,1,0,NA,0,NA,,
hel,hel2,150,2010-06-19,2010-07-10,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,7,11,1,1,2,NA,NA,140,0,0,0,0,NA,0,NA,,
hel,hel2,500,2010-06-19,2010-07-10,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,4,1,2,1,10,NA,NA,111,0,0,0,0,NA,0,NA,,
myv,btl,5,2010-07-07,2010-07-25,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,7,0,0,0,NA,NA,0,0,0,15,6,NA,0,NA,,
myv,btl,50,2010-07-07,2010-07-25,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,1,NA,NA,7,1,2,2,4,NA,2,NA,,
myv,btl,150,2010-07-07,2010-07-25,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,0,NA,sample spilled in field,
myv,hag,5,2010-07-07,2010-07-25,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,3,0,NA,NA,300,0,25,1,0,NA,5,NA,,
myv,hag,50,2010-07-07,2010-07-25,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,9,8,5,1,NA,NA,140,0,0,0,0,NA,0,NA,,
myv,hag,150,2010-07-07,2010-07-25,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,39,1,0,0,NA,NA,249,0,0,0,0,NA,0,NA,,
myv,hag,500,2010-07-07,2010-07-25,12,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,1,0,0,NA,NA,56,0,0,0,2,NA,0,NA,,
myv,kal,5,2010-07-07,2010-07-25,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,2,1,3,NA,NA,146,0,0,8,8,NA,1,NA,,
myv,kal,50,2010-07-07,2010-07-25,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,6,4,1,NA,NA,49,0,0,0,0,NA,0,NA,,
myv,kal,150,2010-07-07,2010-07-25,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,3,1,0,0,NA,NA,50,0,0,0,0,NA,0,NA,,
myv,non,5,2010-07-07,2010-07-25,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,2,0,0,NA,NA,1,0,2,11,20,NA,2,NA,,
myv,non,50,2010-07-07,2010-07-25,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,7,1,0,1,NA,NA,19,0,7,11,4,NA,0,NA,,
myv,non,150,2010-07-07,2010-07-25,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2,5,2,1,0,NA,NA,15,0,0,1,0,NA,0,NA,"David:near shore all spiders, away from shore all beetles ??? NON",
myv,vin,5,2010-07-07,2010-07-25,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,NA,NA,4,0,0,17,10,NA,0,NA,,
myv,vin,50,2010-07-07,2010-07-25,11,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,6,2,2,2,2,NA,NA,216,0,0,14,1,NA,0,NA,,
myv,vin,150,2010-07-07,2010-07-25,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,0,0,NA,NA,39,0,0,4,2,NA,1,NA,,
hel,hel1,5,2010-07-10,2010-08-01,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,5,6,0,0,12,NA,NA,19,0,0,0,0,NA,0,NA,,
hel,hel1,50,2010-07-10,2010-08-01,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0,2,0,1,2,NA,NA,141,0,0,0,0,NA,0,NA,,
hel,hel1,150,2010-07-10,2010-08-01,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,3,5,0,13,NA,NA,54,0,0,0,0,NA,0,NA,,
hel,hel1,500,2010-07-10,2010-08-01,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,3,0,1,19,NA,NA,131,0,0,0,0,NA,0,NA,,
hel,hel2,5,2010-07-10,2010-08-01,14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,4,0,0,0,8,NA,NA,36,0,0,0,4,NA,0,NA,,
hel,hel2,50,2010-07-10,2010-08-01,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,6,58,7,3,13,NA,NA,163,0,0,0,0,NA,0,NA,,
hel,hel2,150,2010-07-10,2010-08-01,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2,6,0,2,2,NA,NA,123,0,0,0,0,NA,0,NA,,
hel,hel2,500,2010-07-10,2010-08-01,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,8,0,0,10,NA,NA,41,0,0,0,0,NA,0,NA,,
myv,btl,5,2011-06-04,2011-06-19,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,46,0,0,27,16,0,16,0,17,6,1,2,0,58,hemipterans immature,"The column labeled ""DATE"" was taken to mean set date"
myv,btl,50,2011-06-04,2011-06-19,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,69,0,2,27,21,0,21,0,13,9,2,0,1,53,hemipterans immature,"The column labeled ""DATE"" was taken to mean set date"
myv,btl,150,2011-06-04,2011-06-19,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,26,0,0,39,5,2,7,1,3,4,3,0,0,111,hemipterans immature,"The column labeled ""DATE"" was taken to mean set date"
myv,hag,5,2011-06-04,2011-06-19,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,13,0,0,9,1,1,2,0,9,1,0,0,0,23,,"The column labeled ""DATE"" was taken to mean set date"
myv,hag,50,2011-06-04,2011-06-19,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,12,1,0,17,8,0,8,0,0,0,1,0,0,7,,"The column labeled ""DATE"" was taken to mean set date"
myv,hag,150,2011-06-04,2011-06-19,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,3,0,6,75,6,81,0,0,0,0,0,0,56,"most mites huge, spiderlike","The column labeled ""DATE"" was taken to mean set date"
myv,hag,500,2011-06-04,2011-06-19,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,6,3,1,0,16,4,20,0,0,1,2,0,0,36,,"The column labeled ""DATE"" was taken to mean set date"
myv,kal,5,2011-06-04,2011-06-19,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,18,0,0,4,0,11,11,0,0,3,0,0,0,3,,"The column labeled ""DATE"" was taken to mean set date"
myv,kal,50,2011-06-04,2011-06-19,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,7,3,0,4,6,0,6,0,0,3,0,0,0,16,,"The column labeled ""DATE"" was taken to mean set date"
myv,kal,150,2011-06-04,2011-06-19,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,15,2,0,2,11,3,14,0,0,2,0,0,0,26,,"The column labeled ""DATE"" was taken to mean set date"
myv,non,5,2011-06-04,2011-06-19,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,44,0,0,0,38,0,38,1,8,11,1,0,0,110,"1 other trichoptera, saldids immature","The column labeled ""DATE"" was taken to mean set date"
